scope,chapterId,sequence,activityId,origin,sourceIds,type,conceptKey,prompt,answer,options,notes,dataHash
"adapted-source","ch16","20","ass16_p5-pair3","unknown","ass16_p5-pair3","interactive","compare-area","Which shape has the larger area?","B","[{""label"":""B"",""count"":3,""color"":""blue""},{""label"":""C"",""count"":2,""color"":""orange""}]","context=area","49391b51"
"adapted-source","ch16","21","ass16_p6","unknown","ass16_p6","interactive","place-value-group","Group/count 2 blocks","0 tens, 2 ones","","context=Count cube shapes","285140ae"
"adapted-source","ch16","22","ass16_p6-2","unknown","ass16_p6-2","interactive","place-value-group","Group/count 1 blocks","0 tens, 1 ones","","context=Count cuboid shapes","51c03162"
"adapted-source","ch16","23","ass16_p6-3","unknown","ass16_p6-3","interactive","place-value-group","Group/count 4 blocks","0 tens, 4 ones","","context=Count cylinder shapes","b86cb072"
"adapted-source","ch16","24","ass16_p6-4","unknown","ass16_p6-4","interactive","place-value-group","Group/count 0 blocks","0 tens, 0 ones","","context=Count ball shapes","f5bdf432"
"adapted-source","ch17","1","ass17_p1","unknown","ass17_p1","quiz","number-comparison","45 ? 27; 8 tens ? 11 ones; 79 ? 82","45 > 27; 8 tens > 11 ones; 79 < 82",">; <; =","","a48d10ad"
"adapted-source","ch17","2","ass17_p2","unknown","ass17_p2","interactive","place-value-hundreds-chart","fill-missing on hundreds chart","23","","context=hundreds chart","a88713b6"
"adapted-source","ch17","3","ass17_p2-2","unknown","ass17_p2-2","interactive","place-value-hundreds-chart","fill-missing on hundreds chart","65","","context=hundreds chart","3941625a"
"adapted-source","ch17","4","ass17_p4","unknown","ass17_p4","interactive","place-value-group","Group/count 45 sticks","4 tens, 5 ones","","context=bundle","dd61074a"
"adapted-source","ch17","5","ass17_p4-2","unknown","ass17_p4-2","interactive","place-value-group","Group/count 20 sticks","2 tens, 0 ones","","context=bundle","7192659c"
"adapted-source","ch17","6","ch17-s21-q1","unknown","ch17-s21-q1","quiz","guided-box-make10","20 and 3 make __","{""finalAnswer"":23,""blanks"":[23]}","","context=stick","032be230"
"adapted-source","ch17","7","ch17-s21-q4","unknown","ch17-s21-q4","quiz","guided-box-sub10","If you are the 4th person in a line, how many people are in front of you?","{""finalAnswer"":3,""blanks"":[3]}","","","b708cca1"
"adapted-source","ch17","8","ch17-s22-q1","unknown","ch17-s22-q1","interactive","tell-time","What time is it?","3:30","[""3:30"",""3:00""]","context=clock","41b4b535"
"adapted-source","ch17","9","ch17-s22-q5","unknown","ch17-s22-q5","interactive","add-sub-mixed","There were 12 cakes. 4 were eaten. How many are left?","8","","context=cakes","684f7a87"
"adapted-source","ch17","10","ch17-s23-q1","unknown","ch17-s23-q1","interactive","shape-3d-to-2d","What 2D shape comes from cube?","rectangle","[""rectangle"",""square"",""circle"",""triangle""]","context=Tissue box","e6b6fff9"
"adapted-source","ch17","11","ch17-s23-q1-2","unknown","ch17-s23-q1-2","interactive","shape-3d-to-2d","What 2D shape comes from cube?","triangle","[""triangle"",""square"",""circle"",""rectangle""]","context=Tent","70329559"
"adapted-source","ch17","12","ch17-s23-q1-3","unknown","ch17-s23-q1-3","interactive","shape-3d-to-2d","What 2D shape comes from cube?","circle","[""circle"",""square"",""triangle"",""rectangle""]","context=Ball","07b0ffc9"
"assessment-source","final_2","1","f2_p1","assessment-json","f2_p1","analog-clock-read-multiple","time","What time is it?","[{""id"":""f2_c1"",""time"":""1:15"",""details"":""Hour hand past 1, minute hand at 3""},{""id"":""f2_c2"",""time"":""6:30"",""details"":""Hour hand between 6-7, minute hand at 6""},{""id"":""f2_c3"",""time"":""2:45"",""details"":""Hour hand near 3, minute hand at 9""}]","[{""id"":""f2_c1"",""time"":""1:15"",""details"":""Hour hand past 1, minute hand at 3""},{""id"":""f2_c2"",""time"":""6:30"",""details"":""Hour hand between 6-7, minute hand at 6""},{""id"":""f2_c3"",""time"":""2:45"",""details"":""Hour hand near 3, minute hand at 9""}]","","dce04d70"
"assessment-source","final_2","2","f2_p2","assessment-json","f2_p2","number-ordering","capacity","Order from least to greatest.","[10,13,30,31]","","","ad5cf31c"
"assessment-source","final_2","3","f2_p3","assessment-json","f2_p3","shape-footprint-match","shape","Match the 3D shape to its face footprint.","[{""3d"":""cube"",""face"":""square""},{""3d"":""cuboid"",""face"":""rectangle""},{""3d"":""cylinder"",""face"":""circle""}]","","","1ab52c8a"
"assessment-source","final_2","4","f2_p4","assessment-json","f2_p4","money-counting","","How much money? (L.E.)","[{""id"":""f2_m1"",""composition"":""one 10 LE note + five 1 LE coins"",""answer"":15},{""id"":""f2_m2"",""composition"":""two 20 LE notes"",""answer"":40}]","[{""id"":""f2_m1"",""composition"":""one 10 LE note + five 1 LE coins"",""answer"":15},{""id"":""f2_m2"",""composition"":""two 20 LE notes"",""answer"":40}]","","ba682fb9"
"assessment-source","final_3","1","f3_p1","assessment-json","f3_p1","composite-shape-analysis","shape","A parallelogram is made of 2 __?","triangles","[""circles"",""triangles"",""squares""]","","cdb88c7d"
"assessment-source","final_3","2","f3_p2","assessment-json","f3_p2","grid-navigation","place-value/number","On the 100-chart, what is the number above 55?","45","","","792cf16e"
"assessment-source","final_3","3","f3_p3","assessment-json","f3_p3","area-comparison","area","Which color shape has the largest area?","Yellow","[{""color"":""Yellow"",""units"":8},{""color"":""Blue"",""units"":6}]","","f8f7a7ce"
"assessment-source","final_4","1","f4_p1","assessment-json","f4_p1","word-to-number","place-value/number","Which number is 'one hundred'?","100","","","926a4822"
"assessment-source","final_4","2","f4_p2","assessment-json","f4_p2","make-a-ten-strategy","place-value/number","To subtract 17 - 8, we can decompose 8 into 7 and 1. 17 - 7 = 10. 10 - 1 = __?","9","","","ab3d1dbb"
"assessment-source","final_4","3","f4_p3","assessment-json","f4_p3","clock-hands-drawing","time","Draw the minute hand for 5:20. Where should it point?","4","[4,5,20]","","4c70080f"
"assessment-source","final_5","1","f5_p1","assessment-json","f5_p1","dot-grid-copy","place-value/number","Copy the 'M' shape onto the dot grid.","","","","e59fbc66"
"assessment-source","final_5","2","f5_p2","assessment-json","f5_p2","ordinal-logic","","Ibrahim is 5th from the back. There are 8 people in front of him. How many people in total?","13","","","cf559029"
"assessment-source","final_6","1","f6_p1","assessment-json","f6_p1","3d-shape-identification","shape","Which shape is a cylinder?","soup can","[""soup can"",""dice"",""pencil box""]","","b9e90c63"
"assessment-source","final_6","2","f6_p2","assessment-json","f6_p2","clock-hands-drawing","time","Draw hands for 7:15. Minute hand should be at __?","3","","","eafd9ffb"
"assessment-source","final_7","1","f7_p1","assessment-json","f7_p1","dot-grid-copy","place-value/number","Copy the mushroom shape onto the dot grid.","","","","f17166d6"
"assessment-source","final_7","2","f7_p2","assessment-json","f7_p2","subtraction-word-problem","arithmetic","There are 17 children. There are 9 fewer teachers than children. How many teachers are there?","8","","","95e2a9da"
"assessment-source","final_8","1","f8_p1","assessment-json","f8_p1","stick-counting","","How many sticks are used to make the hourglass shape?","6","","","4c6cec19"
"assessment-source","final_8","2","f8_p2","assessment-json","f8_p2","area-unit-comparison","area","Heba's shape has 19 units. Gamal's has 17 units. Who has the larger area?","Heba","","","d79109ac"
"assessment-source","final_9","1","f9_p1","assessment-json","f9_p1","3d-face-tracing","shape","Tracing a face of a __ gives a square.","cube","","","407cb84c"
"assessment-source","final_9","2","f9_p2","assessment-json","f9_p2","capacity-math","capacity","Container B holds 10 cups. Container A holds 8 cups. How many more cups does B hold than A?","2","","","551b0a8f"
"assessment-source","final_10","1","f10_p1","assessment-json","f10_p1","object-category-match","","Which object is a sphere?","tennis ball","","","71210b3a"
"assessment-source","final_10","2","f10_p2","assessment-json","f10_p2","ordinal-reasoning","","There are 20 books on a shelf. The food book is 10th from the left. How many books are to its right?","10","","","3cc23177"
"assessment-source","final_10","3","f10_p3","assessment-json","f10_p3","analog-clock-read-mixed","time","Read the following times.","[""8:00"",""7:15"",""9:45""]","[""8:00"",""7:15"",""9:45""]","","db7e29c5"
